text,label
"Güzel gönderi için teşekkürler, ancak 4 ürünü aynı anda göndermelerini tercih ederdim.",1
"Gönderi kalitesi harika, ancak daha hızlı teslimat için tüm ürünlerin aynı anda gönderilmesi gerekiyor.",1
Teşekkür ederim ama 4 ürünü farklı günlerde göndermeleri biraz zahmetli oldu.,1
Fiyat ve kalite harika ama teslimat süresi ile ilgili konuda eksiklikler var.,1
Gönderi şık ve güzel ama 4 ürünü aynı anda göndermelerini tercih ederdim.,1
Kaliteli ürünler ancak gönderi sürecinde biraz sıkıntı yaşadım.,1
"Teşekkürler, ancak 4 ürünü aynı anda gönderirlerse daha memnun kalırdım.",1
"Harika fiyat ve kalite, ancak teslimatta bazı problemler var.",1
Güzel bir gönderi ama 4 ürünü ayrı ayrı göndermeleri biraz zaman kaybettirdi.,1
"Fiyat ve kalite mükemmel, ancak teslimatta biraz aksamalar oldu.",1
Hareketli başlıkta kullanılan vidaların sıkılması zor ve televizyon istikrarlı duramıyor.,0
Televizyonun tamamen sabitlenmediği hareketli başlıktaki vidalar sorunlu.,0
Hareketli başlıkta kullanılan vidaların sıkışması yetersiz ve televizyon dengesiz kalıyor.,0
Başlık vidaları sıkılamadığı için televizyon dengesiz bir şekilde hareket ediyor.,0
Hareketli başlıktaki vidaların yetersiz sıkışması nedeniyle televizyon sabitlenemiyor.,0
Videodaki hareketli başlıkta kullanılan vidaların sıkışma kapasitesi yetersiz ve televizyon dengesiz kalıyor.,0
Başlık vidaları yeterince sıkılamadığı için televizyon hareketli oluyor.,0
Hareketli başlıkta kullanılan vidaların gevşek olması nedeniyle televizyon istenilen şekilde yerleştirilemiyor.,0
Televizyonun sağlam bir şekilde sabitlenememesinin nedeni hareketli başlıktaki vidaların yetersizliği.,0
Vidaların sıkılma kapasitesinin yetersizliği nedeniyle hareketli başlıkta televizyon tam anlamıyla yerleştirilemiyor.,0
"Dün geldiği gibi kurulumunu yaptım, kargo servisi sorunsuzdu ama TV'nin karşısına geçtim inceledim izledim.",0
"Teslim aldıktan sonra hemen kurulumunu yaptım, kargo servisinden şikayetim yok ama TV'yi inceleyince 10 numara beş yıldıza sahip olduğunu fark ettim.",0
"Kurulumunu yaptırdım, kargo servisinden sıkıntı yaşamadım ama TV'nin karşısına geçip incelediğimde teknolojik donanımı zayıf olduğunu fark ettim.",0
"Kurduktan sonra hemen kargo servisinden aldığım TV'yi inceledim, 10 numara beş yıldız veriyorum.",0
"Kargo servisinde hiç sorun yaşamadan kurulumunu gerçekleştirdim, TV'yi inceledim ve teknolojiye yakın olanların bu TV ile mutsuz olacağını fark ettim.",0
"Kargo servisi de gayet hızlıydı ve kurulumunu yaptım, TV karşısında incelemelerde bulundum ve 10 numara beş yıldız veriyorum.",0
"Gelen kargo servisi sorunsuzdu, kurulumunu gerçekleştirdim fakat TV'nin teknolojik olmayan yönleriyle karşılaştım.",0
"Ulaştığında hemen kurulumunu yaparak TV'yi inceledim, özellikle teknolojik özellikleriyle göz doldurmaktaydı, tam 10 numara beş yıldız veriyorum.",0
"Kargoda bir sıkıntı yoktu, hemen kurulumunu yaptım, TV'nin özelliklerini inceledim ve yetersiz olduğunu düşündüm.",0
"Sorunsuz kargo servisi ile aldığım TV'yi kurarak inceledim, teknolojik beklentilerimize tam olarak yanıt vermediği için rezalet diyorum.",0
Sorunsuz hizmet sunuldu.,1
Bu işlem sorunsuz tamamlandı.,1
Sorunsuz bir şekilde başarılı olduk.,1
Sorunsuz bir yolculuk geçirdik.,1
Sorunsuz bir deneyim yaşadık.,1
Sorunsuz bir çalışma ortamı oluşturduk.,1
Sorunsuz bir randevu alabildim.,1
Sorunsuz bir ödeme yapıldı.,1
Araba tamamen sorunsuz çalışıyor.,1
Sorunsuz bir iletişim kurabildik.,1
"Yeni aldığım ürün hemen arızalandı, kullanamıyorum.",0
"Kısa sürede bozulan bir ürün almışım, hayal kırıklığı yaşıyorum.",0
"Kullanmaya başladıktan hemen sonra sorun çıktı, iade etmek istiyorum.",0
"Çok da kullanmadan arızalandı, şikayetçiyim.",0
"Birkaç kullanımdan sonra işlevini yitirdi, sinir bozucu bir durum.",0
"Aldığımdan beri hiç sorunsuz kullanamadım, kesinlikle almayın.",0
"Aniden çalışmayı bıraktı, hiç memnun değilim.",0
"Yenisini aldım ama aynı sorunu yaşadım, hiç şaşırmadım.",0
İlk günlerde çok iyi çalışıyordu ama sonra hemen bozuldu.,0
"Bu ürünü kullanmanızı tavsiye etmiyorum, çok çabuk arızalanıyor.",0
"Bu yemeği tatmaktan fazla keyif almadım, lezzeti beklediğim gibi değildi.",0
"Sınavdan yeterli derecede geçemedim, beklentilerimi karşılamadı.",0
"Sinemada izlediğim film pek etkileyici değildi, beni beklediğim gibi sarsmadı.",0
"Aldığım kitap bana beklentilerimi karşılamadı, hayal kırıklığına uğradım.",0
"Bugün hava gezmek için pek uygun değildi, beklentilerimin altında kaldı.",0
"Annemin yaptığı pasta tatlı değil, lezzeti beni tatmin etmedi.",0
"Bu oyun beklediğim kadar etkileyici değil, sıkıcı geldi.",0
"Denediğim yeni kahve türü beklentilerimin altında kaldı, pek keyif alamadım.",0
"Bu tur rehberi pek bilgili değil, beklediğim gibi yol gösteremedi.",0
